point_id,x_from_left_m,y_from_top_m,measured_velocity_mps,paper_calculated_velocity_mps,paper_relative_error_pct
111,0.40,0.40,1.80,1.92,6.53
121,0.80,0.40,2.08,1.99,4.38
131,1.20,0.40,2.03,2.06,1.43
141,1.60,0.40,2.07,2.13,2.96
151,2.00,0.40,2.17,2.21,1.77
161,2.40,0.40,2.19,2.30,4.83
112,0.40,0.80,2.19,2.07,5.62
122,0.80,0.80,2.12,2.09,1.22
132,1.20,0.80,2.15,2.13,1.07
142,1.60,0.80,2.32,2.17,6.55
152,2.00,0.80,2.26,2.22,1.70
162,2.40,0.80,2.34,2.30,1.87
113,0.40,1.20,2.26,2.18,3.44
123,0.80,1.20,2.31,2.19,5.19
133,1.20,1.20,2.19,2.20,0.49
143,1.60,1.20,2.23,2.22,0.59
153,2.00,1.20,2.21,2.24,1.52
163,2.40,1.20,2.20,2.30,4.42
114,0.40,1.60,2.21,2.28,3.37
124,0.80,1.60,2.27,2.28,0.65
134,1.20,1.60,2.35,2.29,2.75
144,1.60,1.60,2.11,2.29,8.36
154,2.00,1.60,2.23,2.29,2.64
164,2.40,1.60,2.27,2.30,1.40
